#Note: This mapping table is made by me. For the original version, see Code Page 1024.
#There may be more accented characters available, like K and V with dot below.

0xBF 0xD9	0x0158	#LATIN CAPITAL LETTER R WITH CARON
0xBF 0xE2	0x0160	#LATIN CAPITAL LETTER S WITH CARON
0xBF 0xE3	0x0164	#LATIN CAPITAL LETTER T WITH CARON
0xBF 0xE9	0x017D	#LATIN CAPITAL LETTER Z WITH CARON
0xC0	0x007B	#LEFT CURLY BRACKET
0xC1	0x0041	#LATIN CAPITAL LETTER A
0xC2	0x0042	#LATIN CAPITAL LETTER B
0xC3	0x0043	#LATIN CAPITAL LETTER C
0xC4	0x0044	#LATIN CAPITAL LETTER D
0xC5	0x0045	#LATIN CAPITAL LETTER E
0xC6	0x0046	#LATIN CAPITAL LETTER F
0xC7	0x0047	#LATIN CAPITAL LETTER G
0xC8	0x0048	#LATIN CAPITAL LETTER H
0xC9	0x0049	#LATIN CAPITAL LETTER I
0xCA	0x00AD	#SOFT HYPHEN
0xCB	0x0138	#LATIN SMALL LETTER KRA
0xCC	0x0111	#LATIN SMALL LETTER D WITH STROKE
0xCD	0x0140	#LATIN SMALL LETTER L WITH MIDDLE DOT
0xCE	0x0142	#LATIN SMALL LETTER L WITH STROKE
0xCF	0x014B	#LATIN SMALL LETTER ENG
0xD0	0x007D	#RIGHT CURLY BRACKET
0xD1	0x004A	#LATIN CAPITAL LETTER J
0xD2	0x004B	#LATIN CAPITAL LETTER K
0xD3	0x004C	#LATIN CAPITAL LETTER L
0xD4	0x004D	#LATIN CAPITAL LETTER M
0xD5	0x004E	#LATIN CAPITAL LETTER N
0xD6	0x004F	#LATIN CAPITAL LETTER O
0xD7	0x0050	#LATIN CAPITAL LETTER P
0xD8	0x0051	#LATIN CAPITAL LETTER Q
0xD9	0x0052	#LATIN CAPITAL LETTER R
0xDA	0x0131	#LATIN SMALL LETTER DOTLESS I
0xDB	0x0127	#LATIN SMALL LETTER H WITH STROKE
0xDC	0x0133	#LATIN SMALL LIGATURE IJ
0xDD	0x0153	#LATIN SMALL LIGATURE OE
0xDE	0x0167	#LATIN SMALL LETTER T WITH STROKE
0xDF	0x2113	#SCRIPT SMALL L
0xE0	0x005C	#REVERSE SOLIDUS
0xE1	0x00E1	#LATIN SMALL LETTER A WITH ACUTE
0xE2	0x0053	#LATIN CAPITAL LETTER S
0xE3	0x0054	#LATIN CAPITAL LETTER T
0xE4	0x0055	#LATIN CAPITAL LETTER U
0xE5	0x0056	#LATIN CAPITAL LETTER V
0xE6	0x0057	#LATIN CAPITAL LETTER W
0xE7	0x0058	#LATIN CAPITAL LETTER X
0xE8	0x0059	#LATIN CAPITAL LETTER Y
0xE9	0x005A	#LATIN CAPITAL LETTER Z
0xEA	0x00B2	#SUPERSCRIPT TWO
0xEB	0x02D8	#BREVE
0xEB 0x81	0x0103	#LATIN SMALL LETTER A WITH BREVE
0xEB 0x85	0x0115	#LATIN SMALL LETTER E WITH BREVE
0xEB 0x87	0x011F	#LATIN SMALL LETTER G WITH BREVE
0xEB 0x89	0x012D	#LATIN SMALL LETTER I WITH BREVE
0xEB 0x96	0x014F	#LATIN SMALL LETTER O WITH BREVE
0xEB 0xA4	0x016D	#LATIN SMALL LETTER U WITH BREVE
0xEB 0xC1	0x0102	#LATIN CAPITAL LETTER A WITH BREVE
0xEB 0xC5	0x0114	#LATIN CAPITAL LETTER E WITH BREVE
0xEB 0xC7	0x011E	#LATIN CAPITAL LETTER G WITH BREVE
0xEB 0xC9	0x012C	#LATIN CAPITAL LETTER I WITH BREVE
0xEB 0xD6	0x014E	#LATIN CAPITAL LETTER O WITH BREVE
0xEB 0xE4	0x016C	#LATIN CAPITAL LETTER U WITH BREVE
0xEC	0x0149	#LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
0xED	0x013F	#LATIN CAPITAL LETTER L WITH MIDDLE DOT
0xEE	0x0141	#LATIN CAPITAL LETTER L WITH STROKE
0xEF	0x014A	#LATIN CAPITAL LETTER ENG
0xF0	0x0030	#DIGIT ZERO
0xF1	0x0031	#DIGIT ONE
0xF2	0x0032	#DIGIT TWO
0xF3	0x0033	#DIGIT THREE
0xF4	0x0034	#DIGIT FOUR
0xF5	0x0035	#DIGIT FIVE
0xF6	0x0036	#DIGIT SIX
0xF7	0x0037	#DIGIT SEVEN
0xF8	0x0038	#DIGIT EIGHT
0xF9	0x0039	#DIGIT NINE
0xFA	0x00B3	#SUPERSCRIPT THREE
0xFB	0x0126	#LATIN CAPITAL LETTER H WITH STROKE
0xFC	0x0132	#LATIN CAPITAL LIGATURE IJ
0xFD	0x0152	#LATIN CAPITAL LIGATURE OE
0xFE	0x0166	#LATIN CAPITAL LETTER T WITH STROKE
0xFF	0x009F	#CONTROL
